business_id,name,address,city,state,postal_code,latitude,longitude,stars,review_count,attributes,Categories
MUTTqe8uqyMdBl186RmNeA,Tuna Bar,205 Race St,Philadelphia,PA,19106,39.953949,-75.1432262,4,245,"""{'RestaurantsReservations': 'True', 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': \\""'casual'\\"", 'BusinessAcceptsCreditCards': 'True', 'WiFi': \\""'free'\\"", 'HasTV': 'False', 'RestaurantsTakeOut': 'True', 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': False}\\"", 'GoodForKids': 'False', 'GoodForMeal': \\""{'dessert': True, 'latenight': None, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': None}\\"", 'NoiseLevel': \\""u'average'\\"", 'RestaurantsPriceRange2': '2', 'Alcohol': \\""'full_bar'\\"", 'DogsAllowed': 'False', 'HappyHour': 'True', 'RestaurantsDelivery': 'True', 'WheelchairAccessible': 'True', 'OutdoorSeating': 'True', 'RestaurantsTableService': 'True', 'BusinessParking': \\""{u'valet': False, u'garage': None, u'street': True, u'lot': False, u'validated': None}\\""}""",Japanese
ROeacJQwBeh05Rqg7F6TCg,BAP,1224 South St,Philadelphia,PA,19147,39.943223,-75.162568,4.5,205,"""{'NoiseLevel': \\""u'quiet'\\"", 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}\\"", 'RestaurantsGoodForGroups': 'False', 'RestaurantsTableService': 'True', 'WiFi': \\""u'no'\\"", 'GoodForKids': 'True', 'Alcohol': \\""u'none'\\"", 'RestaurantsPriceRange2': '1', 'RestaurantsAttire': \\""u'casual'\\"", 'BikeParking': 'True', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'Caters': 'True', 'RestaurantsReservations': 'False', 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'None', 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': None, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}\\"", 'RestaurantsDelivery': 'None', 'RestaurantsTakeOut': 'True'}""",Korean
bTve2mwLk5Zc01vRKqc2KQ,Red Hook Coffee & Tea,765 S 4th St,Philadelphia,PA,19147,39.9385518,-75.1496356,4.5,183,"""{'BikeParking': 'True', 'OutdoorSeating': 'True', 'RestaurantsReservations': 'False', 'RestaurantsPriceRange2': '1', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'RestaurantsAttire': \\""'casual'\\"", 'RestaurantsGoodForGroups': 'False', 'WiFi': \\""'free'\\"", 'Ambience': \\""{'romantic': False, 'intimate': False, 'classy': False, 'hipster': False, 'divey': False, 'touristy': False, 'trendy': False, 'upscale': False, 'casual': True}\\"", 'NoiseLevel': \\""u'quiet'\\"", 'Caters': 'False', 'RestaurantsTakeOut': 'True', 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': False, 'brunch': True, 'breakfast': True}\\"", 'GoodForKids': 'True', 'BusinessAcceptsCreditCards': 'False', 'HasTV': 'True', 'RestaurantsDelivery': 'False', 'Alcohol': \\""'none'\\""}""",Bagels
dChRGpit9fM_kZK5pafNyA,The Love,130 S 18th St,Philadelphia,PA,19103,39.9506555,-75.1708991,4,618,"""{'BusinessAcceptsCreditCards': 'True', 'RestaurantsReservations': 'True', 'HasTV': 'False', 'GoodForMeal': \\""{'dessert': True, 'latenight': None, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': None}\\"", 'RestaurantsGoodForGroups': 'True', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'RestaurantsAttire': \\""u'casual'\\"", 'NoiseLevel': \\""u'average'\\"", 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': True, 'divey': False, 'intimate': True, 'trendy': True, 'upscale': False, 'classy': True, 'casual': False}\\"", 'Caters': 'False', 'DogsAllowed': 'False', 'RestaurantsTableService': 'True', 'Alcohol': \\""u'full_bar'\\"", 'BikeParking': 'True', 'HappyHour': 'True', 'RestaurantsTakeOut': 'True', 'WiFi': \\""'no'\\"", 'GoodForKids': 'False', 'RestaurantsDelivery': 'True', 'OutdoorSeating': 'True', 'RestaurantsPriceRange2': '2'}""",American
QWqKTWQ2OiDgo3dzNkpung,Jong Ka Jib,6600 N 5th St,Philadelphia,PA,19126,40.0520643,-75.1273939,4.5,351,"""{'Alcohol': \\""u'none'\\"", 'RestaurantsGoodForGroups': 'True', 'RestaurantsAttire': \\""'casual'\\"", 'OutdoorSeating': 'False', 'BikeParking': 'True', 'BYOBCorkage': \\""'yes_free'\\"", 'RestaurantsTakeOut': 'True', 'Caters': 'False', 'GoodForKids': 'True', 'WiFi': \\""u'no'\\"", 'RestaurantsReservations': 'True', 'Corkage': 'False', 'RestaurantsPriceRange2': '2', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': True, 'valet': False}\\"", 'NoiseLevel': \\""u'average'\\"", 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}\\"", 'HasTV': 'True', 'BusinessAcceptsCreditCards': 'True', 'RestaurantsTableService': 'True', 'DogsAllowed': 'False', 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}\\"", 'RestaurantsDelivery': 'None'}""",Korean
7mpYTDb24SywNMRn3yeakQ,The Twisted Tail,509 S 2nd St,Philadelphia,PA,19147,39.9418766,-75.1451988,4,604,"""{'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'RestaurantsReservations': 'True', 'Alcohol': \\""u'full_bar'\\"", 'NoiseLevel': \\""u'average'\\"", 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'GoodForKids': 'False', 'BusinessAcceptsCreditCards': 'True', 'OutdoorSeating': 'True', 'BikeParking': 'False', 'WiFi': \\""u'free'\\"", 'GoodForDancing': 'False', 'WheelchairAccessible': 'True', 'RestaurantsTableService': 'True', 'HasTV': 'True', 'RestaurantsAttire': \\""u'casual'\\"", 'Caters': 'True', 'HappyHour': 'True', 'RestaurantsDelivery': 'False', 'Music': \\""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': True, 'video': False, 'karaoke': False}\\"", 'BestNights': \\""{'monday': False, 'tuesday': False, 'friday': True, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': True}\\"", 'ByAppointmentOnly': 'False', 'Smoking': \\""u'no'\\"", 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': True, 'casual': True}\\"", 'BusinessAcceptsBitcoin': 'False', 'DogsAllowed': 'False', 'GoodForMeal': \\""{'dessert': None, 'latenight': True, 'lunch': None, 'dinner': True, 'brunch': None, 'breakfast': False}\\"", 'RestaurantsPriceRange2': '2'}""",American
5iuo1kvv0XZMS0bUOoLz2Q,Bistro St. Tropez,"2400 Market St, Ste 427",Philadelphia,PA,19103,39.95359199,-75.17942269,3.5,163,"""{'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsAttire': \\""'casual'\\"", 'RestaurantsReservations': 'True', 'RestaurantsTakeOut': 'True', 'OutdoorSeating': 'False', 'Alcohol': \\""'full_bar'\\"", 'Ambience': \\""{'romantic': True, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': False}\\"", 'RestaurantsGoodForGroups': 'True', 'HasTV': 'False', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'GoodForKids': 'False', 'NoiseLevel': \\""u'quiet'\\"", 'WiFi': \\""u'no'\\"", 'RestaurantsPriceRange2': '2', 'BikeParking': 'True', 'Caters': 'True'}""",French
ngvE1G9IckUO-ljZBFo23w,Mumbai Bistro,930 Locust St,Philadelphia,PA,19107,39.947207,-75.1572515,4,217,"""{'RestaurantsReservations': 'False', 'OutdoorSeating': 'False', 'Ambience': \\""{'romantic': False, 'intimate': False, 'touristy': False, 'hipster': False, 'divey': False, 'classy': False, 'trendy': False, 'upscale': False, 'casual': True}\\"", 'GoodForKids': 'True', 'RestaurantsTakeOut': 'True', 'Alcohol': \\""u'none'\\"", 'RestaurantsAttire': \\""u'casual'\\"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'RestaurantsGoodForGroups': 'False', 'WiFi': \\""u'no'\\"", 'NoiseLevel': \\""u'quiet'\\"", 'Caters': 'True', 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}\\"", 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\"", 'BikeParking': 'True', 'HasTV': 'True', 'RestaurantsPriceRange2': '1'}""",Indian
46_2e1hnQ4csLrYnhn6bkw,Whetstone Tavern,700 S 5th St,Philadelphia,PA,19147,39.94087158,-75.15104681,4,166,"""{'RestaurantsAttire': \\""'casual'\\"", 'NoiseLevel': \\""u'average'\\"", 'RestaurantsTakeOut': 'True', 'GoodForDancing': 'False', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Music': \\""{'dj': False, 'background_music': True, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}\\"", 'RestaurantsTableService': 'True', 'WheelchairAccessible': 'False', 'Alcohol': \\""u'full_bar'\\"", 'Smoking': \\""u'no'\\"", 'BestNights': \\""{'monday': False, 'tuesday': False, 'friday': False, 'wednesday': False, 'thursday': False, 'sunday': False, 'saturday': False}\\"", 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': False, 'upscale': False, 'classy': False, 'casual': True}\\"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'BusinessAcceptsCreditCards': 'True', 'HappyHour': 'True', 'BikeParking': 'True', 'CoatCheck': 'False', 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': True, 'breakfast': False}\\"", 'WiFi': \\""'no'\\"", 'RestaurantsReservations': 'True', 'GoodForKids': 'False', 'RestaurantsDelivery': 'False', 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': False, 'lot': False, 'valet': False}\\""}""",American
PdMXmOWDRHICAx6SLgu1dQ,24,2401 Walnut St,Philadelphia,PA,19103,39.9515211,-75.1798731,3.5,111,"""{'BikeParking': 'True', 'RestaurantsTableService': 'True', 'WiFi': \\""u'free'\\"", 'Caters': 'True', 'GoodForMeal': \\""{'dessert': False, 'latenight': False, 'lunch': True, 'dinner': True, 'brunch': False, 'breakfast': False}\\"", 'GoodForDancing': 'False', 'HappyHour': 'True', 'DogsAllowed': 'False', 'Alcohol': \\""u'full_bar'\\"", 'RestaurantsPriceRange2': '2', 'OutdoorSeating': 'True', 'RestaurantsTakeOut': 'True', 'RestaurantsGoodForGroups': 'True', 'HasTV': 'True', 'Ambience': \\""{'touristy': False, 'hipster': False, 'romantic': False, 'divey': False, 'intimate': False, 'trendy': True, 'upscale': False, 'classy': False, 'casual': True}\\"", 'GoodForKids': 'True', 'WheelchairAccessible': 'True', 'BusinessAcceptsBitcoin': 'False', 'Music': \\""{'dj': False, 'background_music': False, 'no_music': False, 'jukebox': False, 'live': False, 'video': False, 'karaoke': False}\\"", 'BusinessAcceptsCreditCards': 'True', 'RestaurantsDelivery': 'True', 'Smoking': \\""u'no'\\"", 'RestaurantsReservations': 'True', 'NoiseLevel': \\""u'loud'\\"", 'BusinessParking': \\""{'garage': False, 'street': True, 'validated': True, 'lot': True, 'valet': False}\\"", 'RestaurantsAttire': \\""'casual'\\""}""",Italian
